table_name;in_migrations;in_database;
claim_data;yes;yes;
claim_data_forms;yes;yes;
claim_form_project_data_sheets;yes;yes;
claim_froms;yes;yes;
companies;yes;yes;
company_contacts;yes;yes;
conditional_waiver_finals;yes;yes;
conditional_waivers;yes;yes;
consultations;yes;yes;
contact_informations;yes;yes;
contact_phones;yes;yes;
contact_uses;yes;yes;
contacts;yes;yes;
credit_applications;yes;yes;
customer_codes;yes;yes;
failed_jobs;yes;yes;
image_uploads;yes;yes;
job_contracts;yes;yes;
job_info_files;yes;yes;
job_infos;yes;yes;
job_request_combinations;yes;yes;
job_request_deadlines;yes;yes;
job_request_labels;yes;yes;
jobs;yes;yes;
joint_payment_authorizations;yes;yes;
lien_bound_summaries;yes;yes;
lien_law_slide_charts;yes;yes;
lien_providers;yes;yes;
map_company_contacts;yes;yes;
media;yes;yes;
member_billing_addresses;yes;yes;
member_lien_maps;yes;yes;
member_packages;yes;yes;
notification_settings;yes;yes;
package_prices;yes;yes;
packages;yes;yes;
partial_waiver_dates;yes;yes;
partial_waivers;yes;yes;
password_resets;yes;yes;
payment_logs;yes;yes;
payments;yes;yes;
personal_access_tokens;yes;yes;
plans;yes;yes;
project_contracts;yes;yes;
project_dates;yes;yes;
project_deadline;yes;yes;
project_details;yes;yes;
project_documents_new;yes;yes;
project_emails;yes;yes;
project_industry_contact_maps;yes;yes;
project_roles;yes;yes;
project_tasks;yes;yes;
project_types;yes;yes;
property_types;yes;yes;
remedies;yes;yes;
remedy_dates;yes;yes;
remedy_questions;yes;yes;
remedy_steps;yes;yes;
roles;yes;yes;
sessions;yes;yes;
states;yes;yes;
tier_remedy_steps;yes;yes;
tier_tables;yes;yes;
unconditional_waiver_finals;yes;yes;
unconditional_waiver_progresses;yes;yes;
user_details;yes;yes;
user_preferences;yes;yes;
users;yes;yes;
waiver_of_liens;yes;yes;
lien_provider_states;no;yes;
migrations;no;yes;
project_documents;no;yes;
project_tasks_other;no;yes;
std_fixed_products;no;yes;
std_goods_issue_detail_fixed;no;yes;
std_goods_issue_fixed;no;yes;
std_product_ledger_fixed_table;no;yes;
std_purchase_order_detail_fixed;no;yes;
std_purchase_order_fixed;no;yes;
subscriptions;no;yes;
task_dragdrop;no;yes;
telescope_entries;no;yes;now created
telescope_entries_tags;no;yes;
telescope_monitoring;no;yes;
